Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Grant - ImaliPay,https://www.crunchbase.com/funding_round/imalipay-grant--aff88a1f,"Nairobi, Nairobi Area, Kenya, Africa",ImaliPay,https://www.crunchbase.com/organization/imalipay,Grant,100000,USD,100000,2021-10-06,ImaliPay is a financial health platform offering financial products to freelancers and blue collar gig workers.,Black Founders Fund
Grant - Pezesha,https://www.crunchbase.com/funding_round/pezesha-grant--eb130209,"Nairobi, Nairobi Area, Kenya, Africa",Pezesha,https://www.crunchbase.com/organization/pezesha,Grant,100000,USD,100000,2021-10-06,Pezesha is Africa-focused digital financial marketplace.,Black Founders Fund
Grant - MarketForce360,https://www.crunchbase.com/funding_round/marketforce360-grant--5602a323,"Nairobi, Nairobi Area, Kenya, Africa",MarketForce360,https://www.crunchbase.com/organization/marketforce360,Grant,100000,USD,100000,2021-10-06,MarketForce is the operating system for retail distribution of consumer goods and financial services in Africa.,Black Founders Fund
Pre Seed Round - RideLink,https://www.crunchbase.com/funding_round/ridelink-8a25-pre-seed--78818dbe,"Kampala, Kampala, Uganda, Africa",RideLink,https://www.crunchbase.com/organization/ridelink-8a25,Pre-Seed,529900000,UGX,150016,2021-08-31,Ridelink is a transport company that offers tailor-made logistics and transportation services for both SMEs and large firms.,"Omidyar Network, Ortus Africa Capital, Young Entrepreneurs Fund"
Seed Round - Nawy,https://www.crunchbase.com/funding_round/nawy-seed--9348a39b,"Cairo, Al Qahirah, Egypt, Africa",Nawy,https://www.crunchbase.com/organization/nawy,Seed,,,,2021-07-25,Nawy is a real estate end-to-end website that allows users to browse hundreds of properties and buy houses in gated communities.,"Hatem Dowidar, Sawiris Family Office"
Series A - Pineapple,https://www.crunchbase.com/funding_round/pineapple-series-a--ead6da78,"Johannesburg, NA - South Africa, South Africa, Africa",Pineapple,https://www.crunchbase.com/organization/pineapple,Series A,80000000,ZAR,5411961,2021-07-26,"Pineapple makes insuring easy, fair and accessible. Get cover in a snap. See the good your premiums do. Get all leftover premium back.","E4EAfrica, Lireas Holdings, Old Mutual Investment Group, The ASISA ESD Fund, Vunani Capital Partners"
Venture Round - Stone Three Venture Technology,https://www.crunchbase.com/funding_round/stone-three-venture-technology-series-unknown--4091a659,"Somerset West, NA - South Africa, South Africa, Africa",Stone Three Venture Technology,https://www.crunchbase.com/organization/stone-three-venture-technology,Venture - Series Unknown,,,,2021-10-05,Stone Three develops bespoke enterprise software engineering solutions for industry leaders.,Knife Capital
Seed Round - Mono,https://www.crunchbase.com/funding_round/mono-seed--279b7e6f,"Lagos, Lagos, Nigeria, Africa",Mono,https://www.crunchbase.com/organization/mono,Seed,2000000,USD,2000000,2021-05-24,Mono creates an API financial platform that helps companies in collecting and managing bank transfer payments.,"Babs Ogundeyi, Entrée Capital, Eric Idiahi, Gbenga Oyebode, Lateral Capital"
Pre Seed Round - CashBackApp,https://www.crunchbase.com/funding_round/cashbackapp-1f10-pre-seed--7e7a8965,"Nairobi, Nairobi Area, Kenya, Africa",CashBackApp,https://www.crunchbase.com/organization/cashbackapp-1f10,Pre-Seed,475000,USD,475000,2021-08-19,CashBackApp offers you Cash Discounts on a wide range of household essentials available at local supermarkets in Kenya.,"LoftyInc Capital Management, Loyal VC, Sherpa Venture Capital"
Debt Financing - BCP Bank (Mauritius),https://www.crunchbase.com/funding_round/bcp-bank-mauritius-debt-financing--3a5a60e4,"Ebène, Plaines Wilhems, Mauritius, Africa",BCP Bank (Mauritius),https://www.crunchbase.com/organization/bcp-bank-mauritius,Debt Financing,25000000,EUR,28936256,2021-09-30,BCP Bank (Mauritius) offers corporate and retail banking services such as trade finance solutions and SME loans.,"KFW DEG, PROPARCO"
Pre Seed Round - Kibanda Topup,https://www.crunchbase.com/funding_round/kibanda-topup-pre-seed--e60d002d,"Nairobi, Nairobi Area, Kenya, Africa",Kibanda Topup,https://www.crunchbase.com/organization/kibanda-topup,Pre-Seed,460000,USD,460000,2021-06-03,"Kibanda Topup digitizes the supply for micro, small and medium-sized restaurants.","Cem Garih, Early Berrywood Capital, Gregory Rockson, JAM Fund, Olugbenga Agboola"
Post-IPO Debt - Airtel Africa,https://www.crunchbase.com/funding_round/airtel-africa-post-ipo-debt--6e5d5d48,"Dar Es Salaam, Dar es Salaam, Tanzania, Africa",Airtel Africa,https://www.crunchbase.com/organization/airtel-africa,Post-IPO Debt,500000000,USD,500000000,2021-04-23,Airtel Africa is a telecommunications company that offers mobile voice and data services.,"Axis Bank, Bank of America, BNP Paribas, Citibank, HSBC, JP Morgan, Kotak Mahindra Bank, Standard Chartered Bank"
Seed Round - Edves,https://www.crunchbase.com/funding_round/edves-seed--83843b98,"Lagos, Lagos, Nigeria, Africa",Edves,https://www.crunchbase.com/organization/edves,Seed,575000,USD,575000,2021-09-27,"Edves automates the brick and mortal School operations from Student enrollment, Fee Collection, Lesson Note up to Transcript Generation.","Beta.Ventures, Chinook Capital Limited, Future Africa, Launch Africa"
Seed Round - Lami,https://www.crunchbase.com/funding_round/lami-insurance-seed--830d7567,"Nairobi, Nairobi Area, Kenya, Africa",Lami,https://www.crunchbase.com/organization/lami-insurance,Seed,1800000,USD,1800000,2021-05-05,Lami is an end-to-end digital insurance platform and API that enables companies across sectors to offer insurance products.,"AAIC Ventures, Accion Venture Lab, Acuity Ventures, Consonance Investment Managers, Continent Venture Partners, Future Africa, P1 Ventures"
Pre Seed Round - Telda,https://www.crunchbase.com/funding_round/telda-pre-seed--fa70086d,"Cairo, Al Qahirah, Egypt, Africa",Telda,https://www.crunchbase.com/organization/telda,Pre-Seed,5000000,USD,5000000,2021-05-17,"Telda is the easiest and fastest way to send, spend and save money.","Class 5 Global, Global Founders Capital, Sequoia Capital"
Venture Round - Yassir,https://www.crunchbase.com/funding_round/yassir-series-unknown--109dd8de,"Algiers, Alger, Algeria, Africa",Yassir,https://www.crunchbase.com/organization/yassir,Venture - Series Unknown,37352704,USD,37352704,2021-10-13,Yassir is a transport service that uses smartphone app and allows everyone to book drivers and move around safely.,"Edward Lando, Pareto Holdings, VentureSouq"
Seed Round - I-G3N,https://www.crunchbase.com/funding_round/i-g3n-seed--9f87d13a,"Midrand, NA - South Africa, South Africa, Africa",I-G3N,https://www.crunchbase.com/organization/i-g3n,Seed,20000000,ZAR,1396986,2021-08-03,I-G3N is a South African developer of lithium-ion batteries.,"Edge Growth, The ASISA ESD Fund"
Series A - Brimore,https://www.crunchbase.com/funding_round/brimore-series-a--2df0dd3a,"Cairo, Al Qahirah, Egypt, Africa",Brimore,https://www.crunchbase.com/organization/brimore,Series A,15700000,EGP,998491,2021-09-20,Brimore is a social commerce platform that leverages a large network of associated freelance community distributors.,Fawry
Seed Round - Brimore,https://www.crunchbase.com/funding_round/brimore-seed--09d29b23,"Cairo, Al Qahirah, Egypt, Africa",Brimore,https://www.crunchbase.com/organization/brimore,Seed,11000000,USD,11000000,2021-05-01,Brimore is a social commerce platform that leverages a large network of associated freelance community distributors.,"Algebra Ventures, Chimera Investment, Fawry, Vision Ventures"
Seed Round - Jumuisha,https://www.crunchbase.com/funding_round/jumuisha-seed--c3524380,"Nairobi, Nairobi Area, Kenya, Africa",Jumuisha,https://www.crunchbase.com/organization/jumuisha,Seed,,,,2021-09-17,Jumuisha is a fintech startup that helps churches and non-profit organisations receive donations.,SprintX
Pre Seed Round - Sotech,https://www.crunchbase.com/funding_round/sotech-0b7d-pre-seed--503b9eaa,"Cairo, Al Qahirah, Egypt, Africa",Sotech,https://www.crunchbase.com/organization/sotech-0b7d,Pre-Seed,1000000,USD,1000000,2021-09-16,Sotech operates as a healthech and IoT solutions startup.,"Al Raya Kuwaiti, Innlife Investments"
Series A - Sky.Garden,https://www.crunchbase.com/funding_round/sky-garden-series-a--48877eb6,"Nairobi, Nairobi Area, Kenya, Africa",Sky.Garden,https://www.crunchbase.com/organization/sky-garden,Series A,431000000,KES,3998312,2021-06-14,Sky.Garden is SaaS ecommerce platform that helps retail stores digitize offline and online sales.,"Aavishkaar Venture Capital, KSK Angel Fund, SANAD Fund, Uncovered Fund"
Convertible Note - Kashat,https://www.crunchbase.com/funding_round/kashat-ec8e-convertible-note--0d70b097,"Cairo, Al Qahirah, Egypt, Africa",Kashat,https://www.crunchbase.com/organization/kashat-ec8e,Convertible Note,1750000,USD,1750000,2021-09-12,Kashat is the first of its kind mobile app in Egypt designed to help micro businesses owners with small loans and other financial services,"Cairo Angels, Launch Africa"
Debt Financing - Africa Finance Corporation,https://www.crunchbase.com/funding_round/africa-finance-corporation-debt-financing--f988cefc,"Lagos, Lagos, Nigeria, Africa",Africa Finance Corporation,https://www.crunchbase.com/organization/africa-finance-corporation,Debt Financing,100000000,USD,100000000,2021-08-31,AFC offers a unique value proposition as an Africa-focused bank covering complimentary service areas.,India Exim Bank
Seed Round - Pezesha,https://www.crunchbase.com/funding_round/pezesha-seed--646daf8d,"Nairobi, Nairobi Area, Kenya, Africa",Pezesha,https://www.crunchbase.com/organization/pezesha,Seed,,,,2021-09-07,Pezesha is Africa-focused digital financial marketplace.,"GreenHouse Capital, Venture Garden Group"
Venture Round - Enda Tamweel,https://www.crunchbase.com/funding_round/enda-tamweel-series-unknown--6ed711c9,"Tunis, Tunis, Tunisia, Africa",Enda Tamweel,https://www.crunchbase.com/organization/enda-tamweel,Venture - Series Unknown,,,,2021-10-12,Enda Tamweel is a microfinance company.,Assurances Maghrebia
Series A - Zeepay,https://www.crunchbase.com/funding_round/zeepay-series-a--0def0e29,"Accra, Greater Accra, Ghana, Africa",Zeepay,https://www.crunchbase.com/organization/zeepay,Series A,4600000,USD,4600000,2021-06-30,Zeepay is the fastest growing fintech focusing on digital rails to connect digital assets.,"ARK Holdings, Good Soil VC, Investisseurs & Partenaires"
Venture Round - Amfri Farms,https://www.crunchbase.com/funding_round/amfri-farms-series-unknown--8b53a421,"Kampala, Kampala, Uganda, Africa",Amfri Farms,https://www.crunchbase.com/organization/amfri-farms,Venture - Series Unknown,1320000,EUR,1558947,2021-08-31,"Amfri Farms is an agricultural company specializing in the production, processing and export of organic fruits, vegetables and spices.","FCA Investments, Pearl Capital Partners"
Post-IPO Debt - Ecobank,https://www.crunchbase.com/funding_round/ecobank-transnational-post-ipo-debt--493fb52d,"Lomé, Maritime, Togo, Africa",Ecobank,https://www.crunchbase.com/organization/ecobank-transnational,Post-IPO Debt,35000000,USD,35000000,2021-12-03,Ecobank is a modern pan-African financial institution providing financial solutions.,African Development Bank
Series A - BitPesa,https://www.crunchbase.com/funding_round/bitpesa-76fc-series-a--2d868f70,"Nairobi, Nairobi Area, Kenya, Africa",BitPesa,https://www.crunchbase.com/organization/bitpesa-76fc,Series A,2500000,USD,2500000,2017-01-31,BitPesa is the provider of wholesale cryptocurrency liquidity and exchange with fast settlement.,"Blockchain Capital, BnkToTheFuture, Digital Currency Group, Draper Associates, Future\Perfect Ventures, Greycroft, Pantera Capital, Zephyr Acorn"
Seed Round - Skye Wallet,https://www.crunchbase.com/funding_round/skye-wallet-seed--7e8c0314,"Lagos, Lagos, Nigeria, Africa",Skye Wallet,https://www.crunchbase.com/organization/skye-wallet,Seed,,,,2021-10-28,"Africa's Simplest Cryptocurrency Wallet & Exchange App (Mobile & Web). Buy, Sell, Receive, Send, Hodl, Swap & Spend Cryptocurrency in minute",
Pre Seed Round - Zuru Car Rental,https://www.crunchbase.com/funding_round/zuru-car-rental-pre-seed--35dc8756,"Nairobi, Nairobi Area, Kenya, Africa",Zuru Car Rental,https://www.crunchbase.com/organization/zuru-car-rental,Pre-Seed,,,,2021-10-29,Zuru is an online car sharing platform that connects vehicle owners with travelers and locals seeking to book those vehicles.,
Seed Round - Kidato,https://www.crunchbase.com/funding_round/kidato-seed--bd641fba,"Nairobi, Nairobi Area, Kenya, Africa",Kidato,https://www.crunchbase.com/organization/kidato,Seed,1400000,USD,1400000,2021-04-25,"Kidato is an online school for K-12 kids with a vision to provide a high-quality, affordable education to the growing middle class in Africa","Century Oak Capital, Graph Ventures, Launch Africa, LearnStart, Nate Lipscomb"
Seed Round - MARJ3,https://www.crunchbase.com/funding_round/marj3-seed--fa481ade,"Cairo, Al Qahirah, Egypt, Africa",MARJ3,https://www.crunchbase.com/organization/marj3,Seed,,,,2020-09-28,Online platform connects MENA youth to educational opportunities around the world.,EXPERT DOJO
Pre Seed Round - De Novo Dairy,https://www.crunchbase.com/funding_round/de-novo-dairy-pre-seed--dee634b6,"Cape Town, NA - South Africa, South Africa, Africa",De Novo Dairy,https://www.crunchbase.com/organization/de-novo-dairy,Pre-Seed,,,,2021-07-15,Producing non-animal dairy proteins using precision fermentation,"Anonymous Angel, Anonymous Investor, Anonymous Trust, Kale United, Sustainable Food Ventures"
Series B - Ctrl,https://www.crunchbase.com/funding_round/ctrl-your-digital-insurence-advisor-series-b--62bbc3bc,"Paarl, NA - South Africa, South Africa, Africa",Ctrl,https://www.crunchbase.com/organization/ctrl-your-digital-insurence-advisor,Series B,34000000,ZAR,2331801,2021-07-21,Ctrl is a independent car and household insurance advice app.,Naspers Foundry
Post-IPO Debt - AngloGold Ashanti,https://www.crunchbase.com/funding_round/anglogold-ashanti-post-ipo-debt--dee9125e,"Johannesburg, NA - South Africa, South Africa, Africa",AngloGold Ashanti,https://www.crunchbase.com/organization/anglogold-ashanti,Post-IPO Debt,748500000,USD,748500000,2021-10-21,"AngloGold Ashanti produced 4.1Moz of gold in 2013, generating $5.5bn in gold income",
Seed Round - Awabah,https://www.crunchbase.com/funding_round/awabah-seed--ea2334aa,"Obalende, Lagos, Nigeria, Africa",Awabah,https://www.crunchbase.com/organization/awabah,Seed,200000,USD,200000,2021-07-01,Awabah is a digital pension platform that provides micro pension services.,"Correlation Ventures, CoVentures, ODBA"
Corporate Round - Okhtein,https://www.crunchbase.com/funding_round/okhtein-corporate-round--25a18b35,"Cairo, Al Qahirah, Egypt, Africa",Okhtein,https://www.crunchbase.com/organization/okhtein,Corporate Round,,,,2021-08-19,Okhtein designs handbags for womens.,Bidayat
Pre Seed Round - Paynas,https://www.crunchbase.com/funding_round/paynas-pre-seed--94102b04,"Cairo, Al Qahirah, Egypt, Africa",Paynas,https://www.crunchbase.com/organization/paynas,Pre-Seed,28000,USD,28000,2018-10-01,Paynas is a digital platform that provides businesses with a tool to boost workforce management and payroll cards for their employees.,"500 Startups, Al Sharif Nawaf Faiez Al Abdelhakim, EFG EV Fintech, EFG Hermes, Egypt Ventures, Mahmoud Ali, Venture MENA"
Venture Round - Castle One,https://www.crunchbase.com/funding_round/castle-one-f067-series-unknown--25c6d79f,"Cape Town, NA - South Africa, South Africa, Africa",Castle One,https://www.crunchbase.com/organization/castle-one-f067,Venture - Series Unknown,,,,2021-10-05,Castle One build and invest in real estate technology.,HL Hall and Sons Holdings
Seed Round - Numida,https://www.crunchbase.com/funding_round/numida-technologies-seed--c3255099,"Kampala, Kampala, Uganda, Africa",Numida,https://www.crunchbase.com/organization/numida-technologies,Seed,2300000,USD,2300000,2021-04-13,Numida provides digital and unsecured working capital to semiformal small businesses in Africa.,"Equilibria Capital, Kepple Africa Ventures, MFS Africa, Segal Family Foundation, The Draper Richards Kaplan Foundation"
Series B - Oolu,https://www.crunchbase.com/funding_round/oolu-series-b--b0b21f83,"Ouakam, Dakar, Senegal, Africa",Oolu,https://www.crunchbase.com/organization/oolu,Series B,8500000,USD,8500000,2020-12-15,Oolu is the fastest growing off-grid solar company West Africa. Our Vision is to be the pre-eminent energy and financial service provider to,"All On, DPI Energy Ventures, Fifty Years, GAIA Impact Fund, Persistent Energy Partners, RP Global"
Seed Round - Lidya,https://www.crunchbase.com/funding_round/lidya-seed--e5b7a787,"Lagos, Lagos, Nigeria, Africa",Lidya,https://www.crunchbase.com/organization/lidya,Seed,1250000,USD,1250000,2017-03-29,Lidya is a financial services platform to improve access to credit and finance across frontier and emerging markets starting with Nigeria.,"Accion Venture Lab, David Chan, Flourish Ventures, Newid capital, Savannah Fund"
Grant - Angaza Elimu,https://www.crunchbase.com/funding_round/angaza-elimu-grant--0e4f6cae,"Nairobi, Nairobi Area, Kenya, Africa",Angaza Elimu,https://www.crunchbase.com/organization/angaza-elimu,Grant,100000,USD,100000,2021-10-06,Angaza Elimu is an edtech company that uses AI for on-demand quality and relevant education delivery.,Black Founders Fund
Series B - Lidya,https://www.crunchbase.com/funding_round/lidya-series-b--4380871e,"Lagos, Lagos, Nigeria, Africa",Lidya,https://www.crunchbase.com/organization/lidya,Series B,8300000,USD,8300000,2021-07-07,Lidya is a financial services platform to improve access to credit and finance across frontier and emerging markets starting with Nigeria.,"Accion Venture Lab, Alitheia Capital, Bamboo Capital Partners, Flourish Ventures"
Corporate Round - Rooomxix,https://www.crunchbase.com/funding_round/rooomxix-corporate-round--9ca63b8a,"Lagos, Lagos, Nigeria, Africa",Rooomxix,https://www.crunchbase.com/organization/rooomxix,Corporate Round,1500000,USD,1500000,2021-08-12,Rooomxix is an urban streetwear fashion brand.,Patricia
Pre Seed Round - tix.africa,https://www.crunchbase.com/funding_round/festival-coins-pre-seed--8adcb88a,"Lagos, Lagos, Nigeria, Africa",tix.africa,https://www.crunchbase.com/organization/festival-coins,Pre-Seed,,,,2021-07-07,"tix.africa is a self-service ticketing platform that helps event creators create, share and collect payments for live or virtual events.","HoaQ, Ire Aderinokun"
Debt Financing - Decagon,https://www.crunchbase.com/funding_round/decagon-debt-financing--c3539749,"Lagos, Lagos, Nigeria, Africa",Decagon,https://www.crunchbase.com/organization/decagon,Debt Financing,25000000,USD,25000000,2021-08-05,"Decagon helps leading companies build faster with vetted, world-class remote software engineering talents.","Central Bank of Nigeria, Sterling Bank"
Series A - Paymob,https://www.crunchbase.com/funding_round/paymob-series-a--4fa72b30,"Cairo, Al Qahirah, Egypt, Africa",Paymob,https://www.crunchbase.com/organization/paymob,Series A,15000000,USD,15000000,2021-04-08,Paymob is a digital payments enabler for emerging markets helping small and large enterprises accept payments online and in-store.,"A15, FMO, Global Ventures"
Corporate Round - HelloChoice,https://www.crunchbase.com/funding_round/hellochoice-corporate-round--df36892a,"Pietermaritzburg, NA - South Africa, South Africa, Africa",HelloChoice,https://www.crunchbase.com/organization/hellochoice,Corporate Round,,,,2021-09-21,HelloChoice is digital trading and auction platform that is transforming the agricultural trade by directly connecting Farmers and Buyers.,Standard Bank
Seed Round - DataPathology,https://www.crunchbase.com/funding_round/datapathology-seed--9564cf14,"Casablanca, Grand Casablanca, Morocco, Africa",DataPathology,https://www.crunchbase.com/organization/datapathology,Seed,2000000,MAD,222544,2021-09-21,"DataPathology is the Casablanca-based medtech platform, providing remote pathology consultation.",Witamax One
Seed Round - Brown and Ayo,https://www.crunchbase.com/funding_round/brown-and-ayo-seed--781726b4,"Cape Town, NA - South Africa, South Africa, Africa",Brown and Ayo,https://www.crunchbase.com/organization/brown-and-ayo,Seed,4000000,ZAR,276636,2021-07-01,Brown and Ayo is black hair care and lifestyle brand.,Enygma Ventures
Seed Round - KHULA!,https://www.crunchbase.com/funding_round/khula-seed--eee42167,"Johannesburg, NA - South Africa, South Africa, Africa",KHULA!,https://www.crunchbase.com/organization/khula,Seed,20000000,ZAR,1396986,2021-08-03,Khula is a Software and mobile marketplace for farmers.,"AECI, E Squared Investments"
Grant - Gamesbandy,https://www.crunchbase.com/funding_round/gamesbandy-grant--668f6924,"Mansoura, Ad Daqahliyah, Egypt, Africa",Gamesbandy,https://www.crunchbase.com/organization/gamesbandy,Grant,40000,USD,40000,2021-07-28,"Gaming Marketplace allows gamers to trade their gaming accounts, in-game items, and related services",Taqadam
Non Equity Assistance - Treepz,https://www.crunchbase.com/funding_round/plentywaka-ltd-non-equity-assistance--1951fff8,"Lagos, Lagos, Nigeria, Africa",Treepz,https://www.crunchbase.com/organization/plentywaka-ltd,Non-equity Assistance,,,,2021-10-11,Treepz is a Mobility-as-a-Service platform that develops a bus-hailing application to create a safer transportation system for commuters.,Google for Startups
Venture Round - Sanergy,https://www.crunchbase.com/funding_round/sanergy-series-unknown--337ece21,"Nairobi, Nairobi Area, Kenya, Africa",Sanergy,https://www.crunchbase.com/organization/sanergy,Venture - Series Unknown,2500000,USD,2500000,2021-10-08,"Sanergy generates fertilizer and other by-products through providing safe, affordable sanitation in the slums.",Japan International Cooperation Agency
Pre Seed Round - CreditFins,https://www.crunchbase.com/funding_round/creditfins-pre-seed--c2f2d1ca,"Gîza, Al Jizah, Egypt, Africa",CreditFins,https://www.crunchbase.com/organization/creditfins,Pre-Seed,,,,2021-07-29,"CreditFins is a financial services firm that helps you save money, manage and pay off credit card debt to establish financial freedom.","AUC Angels, Flat6Labs, TA Telecom"
Seed Round - Nawah Scientific,https://www.crunchbase.com/funding_round/nawah-seed--553e98b7,"Cairo, Al Qahirah, Egypt, Africa",Nawah Scientific,https://www.crunchbase.com/organization/nawah,Seed,,,,2021-10-18,Nawah is a core hub of advanced research facilites offering online and on demand scientific services,Essam Abdelhadi
Seed Round - Ed Partners,https://www.crunchbase.com/funding_round/ed-partners-seed--719d7db7,"Westlands, Nairobi Area, Kenya, Africa",Ed Partners,https://www.crunchbase.com/organization/ed-partners,Seed,205000000,KES,1901781,2021-06-22,Ed Partners Africa is a non-banking financial institution that transforms the education sector by providing financial solutions.,"Acumen, Investisseurs & Partenaires, Zephyr Management"
Series C - Sistema.bio,https://www.crunchbase.com/funding_round/sistema-bio-series-c--e5a8e078,"Nairobi, Nairobi Area, Kenya, Africa",Sistema.bio,https://www.crunchbase.com/organization/sistema-bio,Series C,12000000,USD,12000000,2019-05-27,"Sistema.bio is a hybrid reactor biodigester that transforms the manure of animals into biogas and a potent, natural fertilizer.","CoCapital, DILA Capital, EcoEnterprises Fund, Endeavor Catalyst, ENGIE Rassembleurs d'Energies initiative, Lendahand, Shell Foundation"
Private Equity Round - Avacare Health,https://www.crunchbase.com/funding_round/avacare-health-group-private-equity--a78037cd,"Grand Baie, Riviere du Rempart, Mauritius, Africa",Avacare Health,https://www.crunchbase.com/organization/avacare-health-group,Private Equity,,,,2021-09-09,Avacare Health is a distributor and manufacturer of pharmaceuticals and healthcare consumable products.,Amethis Finance
Corporate Round - InfraCredit,https://www.crunchbase.com/funding_round/infracredit-corporate-round--c899b68e,"Lagos, Lagos, Nigeria, Africa",InfraCredit,https://www.crunchbase.com/organization/infracredit,Corporate Round,5000000,USD,5000000,2021-09-08,InfraCredit provides local currency guarantees to enhance the credit quality of debt instruments issued to finance infrastructure assets.,Leadway Assurance
Series A - Appzone Group,https://www.crunchbase.com/funding_round/appzone-series-a--c56b6e77,"Lagos, Lagos, Nigeria, Africa",Appzone Group,https://www.crunchbase.com/organization/appzone,Series A,10000000,USD,10000000,2021-04-12,"Payments, Payment Infrastructure, Banking Software as a Service","CardinalStone Capital Advisers, Constant Capital, Itanna, Lateral Capital, V8 Capital Partners"
Pre Seed Round - Star Kitchens,https://www.crunchbase.com/funding_round/star-kitchens-group-inc-pre-seed--c38a349c,"Lagos, Lagos, Nigeria, Africa",Star Kitchens,https://www.crunchbase.com/organization/star-kitchens-group-inc,Pre-Seed,,,,2021-05-01,Digital Solutions for African food merchants,"DFS Lab, Hustle Fund, Idris Ayodeji Bello, MAGIC Fund, Microtraction, Oxford Seed Fund"
Series A - Kuda,https://www.crunchbase.com/funding_round/kuda-mf-bank-series-a--e516ecd8,"Lagos, Lagos, Nigeria, Africa",Kuda,https://www.crunchbase.com/organization/kuda-mf-bank,Series A,25000000,USD,25000000,2021-03-22,Kuda is a licensed digital bank that offers free full service banking services to Africans.,"Entrée Capital, Target Global, Valar Ventures"
Seed Round - Kandua,https://www.crunchbase.com/funding_round/kandua-seed--ad058191,"Johannesburg, NA - South Africa, South Africa, Africa",Kandua,https://www.crunchbase.com/organization/kandua,Seed,,,,2021-07-19,Kandua is an online marketplace for home services.,"E Squared Investments, Knife Capital"
Pre Seed Round - Mozare3,https://www.crunchbase.com/funding_round/mozare3-pre-seed--53192961,"Cairo, Al Qahirah, Egypt, Africa",Mozare3,https://www.crunchbase.com/organization/mozare3,Pre-Seed,,,,2021-05-24,Mozare3 operates as an agricultural-fintech startup.,"Algebra Ventures, Disruptech, EFG EV Fintech"
"Seed Round - Okra, Inc.",https://www.crunchbase.com/funding_round/okra-inc-seed--887f6643,"Lagos, Lagos, Nigeria, Africa","Okra, Inc.",https://www.crunchbase.com/organization/okra-inc,Seed,3500000,USD,3500000,2021-04-21,Okra is the Open finance infrastructure that enables developers & businesses build personalised digital products/services.,"Accenture Ventures, Rob Solomon, Sequoia Scout, Susa Ventures, TLcom Capital Partners"
Pre Seed Round - OnePipe,https://www.crunchbase.com/funding_round/onepipe-pre-seed--be2e47cb,"Lagos, Lagos, Nigeria, Africa",OnePipe,https://www.crunchbase.com/organization/onepipe,Pre-Seed,1000000,USD,1000000,2020-12-17,OnePipe builds and maintains APIs that enable banks to partner with modern digital services and fintech.,"Atlantica Ventures, Future\Perfect Ventures, P1 Ventures, Raba, Techstars, The Fund, Two Culture Capital"
Angel Round - Bypa-ss,https://www.crunchbase.com/funding_round/bypa-ss-angel--3e0da85c,"Cairo, Al Qahirah, Egypt, Africa",Bypa-ss,https://www.crunchbase.com/organization/bypa-ss,Angel,150000,USD,150000,2020-11-01,Bypa-ss is digitizing healthcare information exchange between healthcare providers to deliver best quality of care to their patients.,"Idris Ayodeji Bello, Mohamed Okasha, Suya Ventures, Tarek Fahim"
Pre Seed Round - Dayra,https://www.crunchbase.com/funding_round/dayra-f710-pre-seed--cce8d4ba,"Cairo, Al Qahirah, Egypt, Africa",Dayra,https://www.crunchbase.com/organization/dayra-f710,Pre-Seed,3000000,USD,3000000,2021-03-10,Dayra empowers companies to offer financial services to their unbanked gig-workers and customers.,"EFG EV Fintech, Omar Darwazah, Tanmiya Capital Ventures, Y Combinator"
Pre Seed Round - Hya Bioplastics,https://www.crunchbase.com/funding_round/hya-bioplastics-pre-seed--a439b7ed,"Kampala, Kampala, Uganda, Africa",Hya Bioplastics,https://www.crunchbase.com/organization/hya-bioplastics,Pre-Seed,,,,2021-07-19,Hya Bioplastics is a startup that creates biodegradable packaging from re-engineered plant fibers.,"Techstars, Techstars Farm to Fork Accelerator"
Seed Round - Suplias,https://www.crunchbase.com/funding_round/suplias-seed--705e78b9,"Lagos, Lagos, Nigeria, Africa",Suplias,https://www.crunchbase.com/organization/suplias,Seed,,,,2021-08-26,Suplias is an application that connects retail outlets to consumer goods manufacturers.,"Atacama Ventures, Soma Capital"
Pre Seed Round - ShipBlu,https://www.crunchbase.com/funding_round/shipblu-pre-seed--ea635325,"Cairo, Al Qahirah, Egypt, Africa",ShipBlu,https://www.crunchbase.com/organization/shipblu,Pre-Seed,,,,2021-07-08,ShipBlu is a platform that redefines the e-commerce shipping and fulfillment experience providing 24-hour delivery with live tracking.,"Nama Ventures, Y Combinator"
Seed Round - MarketForce360,https://www.crunchbase.com/funding_round/marketforce360-seed--35404ea0,"Nairobi, Nairobi Area, Kenya, Africa",MarketForce360,https://www.crunchbase.com/organization/marketforce360,Seed,100000,USD,100000,2021-08-24,MarketForce is the operating system for retail distribution of consumer goods and financial services in Africa.,Harambeans
Seed Round - VitruvianMD,https://www.crunchbase.com/funding_round/vitruvianmd-seed--a5f90bd5,"Johannesburg, NA - South Africa, South Africa, Africa",VitruvianMD,https://www.crunchbase.com/organization/vitruvianmd,Seed,659000,USD,659000,2021-08-20,VitruvianMD is an e-health startup.,Verge HealthTech Fund
